sessions,items,sample_size,training time [s],response total time x1000 [s],response avg time [s],model size [MB]
100000,500,1000,0.010172,0.018818,1.8818000000000002e-05,345.0
100000,1000,1000,0.011182,0.022782,2.2782e-05,368.0
100000,1500,1000,0.009785,0.025223000000000002,2.5223000000000002e-05,373.0
100000,2000,1000,0.009671,0.029454,2.9454e-05,378.0
100000,2500,1000,0.009562,0.032436000000000006,3.2436000000000006e-05,380.0
100000,3000,1000,0.010179,0.036062,3.6061999999999995e-05,382.0
100000,3500,1000,0.009673,0.039257,3.9257e-05,381.0
100000,4000,1000,0.009781,0.042192,4.2192e-05,382.0
200000,500,1000,0.020652,0.019365,1.9365000000000002e-05,694.0
200000,1000,1000,0.019608,0.023229,2.3229e-05,732.0
200000,1500,1000,0.020183,0.025455000000000002,2.5455000000000003e-05,749.0
200000,2000,1000,0.019741,0.029009,2.9009e-05,753.0
200000,2500,1000,0.019801,0.032475000000000004,3.2475e-05,763.0
200000,3000,1000,0.020076,0.035076,3.5076e-05,762.0
200000,3500,1000,0.019126,0.038937,3.8937e-05,766.0
200000,4000,1000,0.019243,0.042309,4.2309e-05,767.0
300000,500,1000,0.030344,0.01923,1.923e-05,1043.0
300000,1000,1000,0.028795,0.02275,2.275e-05,1102.0
300000,1500,1000,0.031531,0.024936,2.4936e-05,1114.0
300000,2000,1000,0.029564,0.028911,2.8910999999999998e-05,1131.0
300000,2500,1000,0.029201,0.03247,3.247e-05,1133.0
300000,3000,1000,0.02964,0.035759,3.5759e-05,1138.0
300000,3500,1000,0.029292,0.03870799999999999,3.870799999999999e-05,1140.0
300000,4000,1000,0.029099,0.043432,4.3432e-05,1144.0
400000,500,1000,0.039416,0.018855,1.8855e-05,1391.0
400000,1000,1000,0.039632,0.022174,2.2173999999999998e-05,1466.0
400000,1500,1000,0.038551,0.033069,3.3069e-05,1501.0
400000,2000,1000,0.03786,0.029669,2.9669e-05,1508.0
400000,2500,1000,0.038825,0.032824,3.2823999999999996e-05,1514.0
400000,3000,1000,0.038888,0.038748,3.8747999999999996e-05,1526.0
400000,3500,1000,0.049638,0.041337,4.1337e-05,1532.0
400000,4000,1000,0.038558,0.043304,4.3304000000000004e-05,1533.0
500000,500,1000,0.04466,0.018751000000000004,1.8751000000000004e-05,1736.0
500000,1000,1000,0.043069,0.022012999999999998,2.2012999999999997e-05,1833.0
500000,1500,1000,0.04277,0.025608,2.5608e-05,1872.0
500000,2000,1000,0.042406,0.029307,2.9307e-05,1880.0
500000,2500,1000,0.042079,0.032783999999999994,3.2783999999999996e-05,1886.0
500000,3000,1000,0.044051,0.035025,3.5025e-05,1905.0
500000,3500,1000,0.041848,0.038506,3.8506e-05,1905.0
500000,4000,1000,0.042287,0.041804999999999995,4.1805e-05,1904.0
600000,500,1000,0.05283,0.025464,2.5464000000000002e-05,2067.0
600000,1000,1000,0.050864,0.022349,2.2349000000000002e-05,2203.0
600000,1500,1000,0.051117,0.02577,2.5770000000000002e-05,2233.0
600000,2000,1000,0.05503,0.028128,2.8128e-05,2267.0
600000,2500,1000,0.054562,0.032979,3.2979000000000004e-05,2273.0
600000,3000,1000,0.050536,0.035029,3.5029e-05,2268.0
600000,3500,1000,0.050409,0.038357,3.8357e-05,2283.0
600000,4000,1000,0.05041,0.041417,4.1417e-05,2293.0
700000,500,1000,0.063533,0.019376,1.9376000000000002e-05,2448.0
700000,1000,1000,0.061321,0.0219,2.19e-05,2581.0
700000,1500,1000,0.061542,0.02452,2.452e-05,2619.0
700000,2000,1000,0.060597,0.027767,2.7767e-05,2647.0
700000,2500,1000,0.059741,0.032098,3.2098e-05,2656.0
700000,3000,1000,0.058138,0.035919,3.5919e-05,2680.0
700000,3500,1000,0.062459,0.040226,4.0226e-05,2672.0
700000,4000,1000,0.062935,0.06686800000000001,6.686800000000001e-05,2681.0
800000,500,1000,0.093259,0.04765,4.765e-05,2784.0
800000,1000,1000,0.095411,0.022123,2.2123e-05,2941.0
800000,1500,1000,0.069888,0.026583000000000002,2.6583000000000003e-05,3007.0
800000,2000,1000,0.069647,0.028367000000000003,2.8367000000000005e-05,3014.0
800000,2500,1000,0.069054,0.033221,3.3221e-05,3026.0
800000,3000,1000,0.066717,0.035026,3.5026e-05,3060.0
800000,3500,1000,0.066301,0.038223,3.8223e-05,3053.0
800000,4000,1000,0.066407,0.043042,4.3042e-05,3054.0
